	DocName	Text	Agitation	Anger	Fear	Joy	Love	Sadness	Context	ID	label
147	Der Wind Sallet, Friedrich von	"Der Wind
Sallet, Friedrich von"	0.0	0.0	0.0	0.0	0.0	0.0	"Der Wind
Sallet, Friedrich von"	l00200128	NONE
1660	Aus der Heimath Schack, Adolf Friedrich von	"Hier ist es, wo ich als Kind gestreift
Und die Beere gepflückt, die am Abgrund reift;
Still war's, wie jetzt im Laube;
Fernher nur hört' ich durch Ranken-Geflecht
Die Schläge der Axt und den pickenden Specht
Und das Girren der wilden Taube."	0.0	0.0	0.0	0.0	0.0	1.0	"Aus der Heimath
Schack, Adolf Friedrich von Hier ist es, wo ich als Kind gestreift
Und die Beere gepflückt, die am Abgrund reift;
Still war's, wie jetzt im Laube;
Fernher nur hört' ich durch Ranken-Geflecht
Die Schläge der Axt und den pickenden Specht
Und das Girren der wilden Taube."	l00200152	SADNESS
1260	Einziger Ausweg Wegener, Rhingulf Eduard [alt. Wegener, Rhingulph Eduard]	"Ob alle Welt mir's auch verarge,
Der Frühling ist mein schlimmster Feind,
Und ob's auch Manchem drollig scheint,
Ein Nagel ist er mir zum Sarge!
Denn bin ich so für mich allein
Und will mich aufs Studiren legen,
Gleich tritt der Vagabonde ein
Und spricht und protestirt dagegen."	0.0	1.0	0.0	0.0	0.0	0.0	"Einziger Ausweg
Wegener, Rhingulf Eduard [alt. Wegener, Rhingulph Eduard] Ob alle Welt mir's auch verarge,
Der Frühling ist mein schlimmster Feind,
Und ob's auch Manchem drollig scheint,
Ein Nagel ist er mir zum Sarge!
Denn bin ich so für mich allein
Und will mich aufs Studiren legen,
Gleich tritt der Vagabonde ein
Und spricht und protestirt dagegen."	l0080606	ANGER
4184	Keim und Kind Ebert, Karl Egon von [alt. Ebert, Egon]	"Doch wenn ein holdes Kind ich sehe,
Gewiegt von treuer Mutterhand,
Halb ist's noch in des Himmels Nähe,
Noch Gast und Fremdling unser'm Land,
Ein tief Geheimniß dieser Erden,
Das erst die Zukunft einst erklärt,
Ein Räthsel, eine Welt im Werden,
Die im Gestaltungskampfe gährt —
Wenn ich es seh', ein solches Wesen,
Da faßt ein Sturm mich von Gefühl,
In seinen Zügen möcht' ich lesen,
Was einst sein Loos im Weltgewühl;
Wird's glücklich sein, wird's Glück gewähren?
Das Aug', das jetzt so selig wacht,
Wird's nicht, erfüllt von bittern Zähren,
Durchwachen manche lange Nacht?
Das Kind, wenn Mann einst, wird es wirken
Für's Heil der Menschheit ernst und kühn,
Wird's, wenn es Weib, in den Bezirken
Des engern Hauses freudig blüh'n?
Wird's nicht vielleicht die Welt erschüttern,
Vielleicht vergessen untergeh'n?
Wird man es lieben, vor ihm zittern,
Wird auch ein Herz sein Herz versteh'n?"	1.0	0.0	1.0	1.0	1.0	1.0	"Keim und Kind
Ebert, Karl Egon von [alt. Ebert, Egon] Wenn ich den kleinen Keim betrachte,
Aus dem einst frisch die Pflanze dringt,
Aus dem, wenn Lebensgluth erwachte,
Die bunte Blume sich entschwingt,
Aus dem ein Heilkraut sich entfaltet,
Aus dem ein Fruchtbaum sich erhebt,
Aus dem die Eiche sich gestaltet,
Die riesig auf gen Himmel strebt:
Dann tief im innersten Gemüthe
Bestaun' ich still die hohe Kraft,
Die Frucht erweckt aus Keim und Blüthe,
Im Kleinsten wirkt und Größtes schafft;
Und allen Keimen wünsch' ich Segen,
Und guten Grund in Feld und Au',
Und Sonnenschein und milden Regen,
Und warme Nächt' und kühlen Thau. Doch wenn ein holdes Kind ich sehe,
Gewiegt von treuer Mutterhand,
Halb ist's noch in des Himmels Nähe,
Noch Gast und Fremdling unser'm Land,
Ein tief Geheimniß dieser Erden,
Das erst die Zukunft einst erklärt,
Ein Räthsel, eine Welt im Werden,
Die im Gestaltungskampfe gährt —
Wenn ich es seh', ein solches Wesen,
Da faßt ein Sturm mich von Gefühl,
In seinen Zügen möcht' ich lesen,
Was einst sein Loos im Weltgewühl;
Wird's glücklich sein, wird's Glück gewähren?
Das Aug', das jetzt so selig wacht,
Wird's nicht, erfüllt von bittern Zähren,
Durchwachen manche lange Nacht?
Das Kind, wenn Mann einst, wird es wirken
Für's Heil der Menschheit ernst und kühn,
Wird's, wenn es Weib, in den Bezirken
Des engern Hauses freudig blüh'n?
Wird's nicht vielleicht die Welt erschüttern,
Vielleicht vergessen untergeh'n?
Wird man es lieben, vor ihm zittern,
Wird auch ein Herz sein Herz versteh'n?"	l0080118	AGITATION#FEAR#JOY#LOVE#SADNESS
6799	SO SCHNEIT AUF MICH DIE TOTE ZEIT ALBERT EHRENSTEIN l00300025	"So schneit auf mich die tote Zeit.
Danklos trinkt sie den Wein, und was sich beut,
Mein Sehnen darf erlahmen;
Sie wahrt, um Fleisch besorgt, mit plötzlich keuscher Eile
Des Anstands lange Langeweile.
: Weib wird Zeit."	0.0	1.0	0.0	0.0	1.0	1.0	"SO SCHNEIT AUF MICH DIE TOTE ZEIT Hofft nichts von mir.
Ich habe niemals Sonne gehabt,
Ich habe den Steinen mein Leid gebracht.
Ich hoffte Glück vom Tier. An mir vorüber sprang der Wunsch der rasselosen Dirnen,
Und nie klang mir das deutsche Wort: ich liebe dich!
Sie recken dem Kommis die grundlos eiteln Stirnen,
Boshaft gähnt mich das Weib an: ich betrübe dich. So schneit auf mich die tote Zeit.
Danklos trinkt sie den Wein, und was sich beut,
Mein Sehnen darf erlahmen;
Sie wahrt, um Fleisch besorgt, mit plötzlich keuscher Eile
Des Anstands lange Langeweile.
: Weib wird Zeit."	l00300025	ANGER#LOVE#SADNESS
52	Lieder an Liane Hoechstetter, Sophie	"Nacht ist um uns, die bange
Lautlos sinkende Nacht —
Sie hat nach verblassendem Leide
Erlöstes Sehnen gebracht.
Greift dir ihr Schweigen an dein Herz?
Zieht es dich leise erdenwärts — —
Am Himmel — fern
Löst sich ein blasser Funken,
Ein Augenblick
Er ist im All versunken.
Ein Wunsch flammt auf,
Ein Wunsch — so heiß,
Ein Wunsch, der letzter Liebe Preis.
In deine Arme laß mich sinken,
In deiner Liebe laß mich ertrinken,
Gib mir doch ganz,
Gib mir den Glanz
Von Erdenglück:
Unser letztes Geschick — —
Nicht fort —
Komm — kein Wort,
Kein Wort durchbreche die Stille."	1.0	0.0	1.0	1.0	1.0	1.0	"Du sollst an meiner Mutter stillem Herd
Die alten lieben, guten Worte hören,
Die alten Worte, die das Herz betören:
Von Heimatglück, von fernen Zeiten,
Von müden, lang erblaßten Leiden,
Die uns noch rühren. Du sollst in meiner Mutter Gartenland
Die kleinen, bunten Blumen pflücken,
Die überfallend nach dem Steig sich bücken,
Die roten Rosen, die dort einsam blühen
Und erglühen
Für dich allein. Du sollst in meiner Mutter altem Haus
Die Liebe nehmen, die ich holen will
Aus meiner Seele Tiefe und dir still
Zu Füßen legen, bis der letzte Tag
Uns kommen mag
In diesem Leben. Du sollst in meiner Mutter Heimatdorf
Die Einsamkeit und frühes Leid vergessen
Und allen Kummer, den du je ermessen —
Weil ich dich führen will und lächelnd tragen
Mit stolzem Wagen
Zu unserm letzten Glück. Du sollst in meiner Mutter Hochzeitskleid
Von weicher, weißer, weiter Schimmerseide,
Die ein Symbol der Freude für uns beide,
Das liebe gute Wort mir geben,
Das mein Leben
Mit dir vereint. Nacht ist um uns, die bange
Lautlos sinkende Nacht —
Sie hat nach verblassendem Leide
Erlöstes Sehnen gebracht.
Greift dir ihr Schweigen an dein Herz?
Zieht es dich leise erdenwärts — —
Am Himmel — fern
Löst sich ein blasser Funken,
Ein Augenblick
Er ist im All versunken.
Ein Wunsch flammt auf,
Ein Wunsch — so heiß,
Ein Wunsch, der letzter Liebe Preis.
In deine Arme laß mich sinken,
In deiner Liebe laß mich ertrinken,
Gib mir doch ganz,
Gib mir den Glanz
Von Erdenglück:
Unser letztes Geschick — —
Nicht fort —
Komm — kein Wort,
Kein Wort durchbreche die Stille."	l00140053	AGITATION#FEAR#JOY#LOVE#SADNESS
1018	Ver sacrum Schoenaich-Carolath, Prinz Emil von [alt. Schönaich-Carolath, Prinz Emil von; Schoenaich-Carolath, Emil zu]	"Das mahnt mich an sündige Städte
Voll Lichtgewirr und Samt,
Wo reich aus goldnem Geräte
Der Weihrauch der Luft geflammt."	0.0	0.0	0.0	1.0	0.0	0.0	"Ver sacrum
Schoenaich-Carolath, Prinz Emil von [alt. Schönaich-Carolath, Prinz Emil von; Schoenaich-Carolath, Emil zu] Wir saßen am Strande der Syrten,
Es rollte und grollte das Meer,
Ein Duft von Narden und Myrten
Zog tief aus Süden her. Die Wellen brausen und funkeln,
Doch bäumt sich mein Herz vor Weh,
Wenn ich das große Verdunkeln
Unsres Lebens seh'. Wir haben die weißen Paläste
Der Träume hochgetürmt,
Wir haben, zwei jubelnde Gäste,
Den Himmel des Glücks erstürmt. Das mahnt mich an sündige Städte
Voll Lichtgewirr und Samt,
Wo reich aus goldnem Geräte
Der Weihrauch der Luft geflammt."	l0030380	JOY
4507	Die Todeswürfel Hoffnaaß, Franziska von	"„Ach Vater mein, bist wieder grimmig und wild.
Was Heinrich! auch Ralph bin ich gut!
Schmied ruhig deine Waffen und stähle den Schild,
Dein Röschen ist wohl auf der Hut.
Das bißchen Geplauder am Brunnenstein
Kann doch wahrhaft nicht Sünde sein!“"	0.0	1.0	0.0	0.0	0.0	0.0	"Die Todeswürfel
Hoffnaaß, Franziska von „O Mädchen, hüte dein Augenpaar
Und halte dein Zünglein im Zaum;
Bist rosig und fein, hast lockiges Haar,
Doch Jugend flieht rasch wie ein Traum.
Mein Röschen, setz deinen Stolz zur Wehr,
Du guckst mir nach Heinrich zu sehr!“ — „Ach Vater mein, bist wieder grimmig und wild.
Was Heinrich! auch Ralph bin ich gut!
Schmied ruhig deine Waffen und stähle den Schild,
Dein Röschen ist wohl auf der Hut.
Das bißchen Geplauder am Brunnenstein
Kann doch wahrhaft nicht Sünde sein!“"	l00130422	ANGER
4519	Die Todeswürfel Hoffnaaß, Franziska von	"Und aller Blicke fest an Heinrich hangen,
Der steht, die Hand zum Wurfe hoch gehalten.
Und als die Würfel knatternd niedersprangen,
Hat sich der eine jäh entzwei gespalten.
„Sechs — eins — und sechs! so steht es auf drei Steinen.“
Viel hundert Stimmen in Verwundrung brechen ...
Doch Ralph, von Schreck erfaßt, schreit auf mit Weinen:
„Aus Eifersucht beging ich das Verbrechen!“
Der Kurfürst blickt zum Himmel tief betroffen,
Und alles Volk mit ihm die Hände faltet:
„Du machst zu Schanden nicht, die auf dich hoffen;
Du bist der Gott, der als Gerechter waltet.“"	0.0	1.0	1.0	0.0	0.0	1.0	"Der strenge Kurfürst sitzt im Richtersaale,
Von allen Würdenträgern ernst umgeben.
Zwei Würfel liegen in der Marmorschale
Bereit, das Gottesurteil kund zu geben. Bei denen, so zunächst am Throne standen,
War Walter auch, der Waffenschmied. Wie wanken
Die Kniee ihm, da er in Eisenbanden
Die „Zwei“ geführt sieht vor die Richterschranken. Des Fürsten Auge prüfet rings die Hallen:
„Wer“, spricht er scharf nach kurzem Sinnen,
„Die kleinste Zahl wirft, ist dem Tod verfallen,
So will es Gott ... und Ralph hat zu beginnen.“ Dem zuckt es hämisch um den Mund. Mit Lachen
Nimmt er die Würfel — schüttelt — wirft sie nieder:
„Zwei Sechsen! Ha! wer könnt' es besser machen?“
Doch böses Murmeln grollt da hin und wieder. Nun kommt die Reih an Heinrich. Tiefe Stille.
Er knieet zum Gebet: „Mein Gott! durchschauen
Kannst du mein schuldlos Herz! Jedoch dein Wille
Gescheh', in dich nur setz' ich mein Vertrauen!“ Und aller Blicke fest an Heinrich hangen,
Der steht, die Hand zum Wurfe hoch gehalten.
Und als die Würfel knatternd niedersprangen,
Hat sich der eine jäh entzwei gespalten.
„Sechs — eins — und sechs! so steht es auf drei Steinen.“
Viel hundert Stimmen in Verwundrung brechen ...
Doch Ralph, von Schreck erfaßt, schreit auf mit Weinen:
„Aus Eifersucht beging ich das Verbrechen!“
Der Kurfürst blickt zum Himmel tief betroffen,
Und alles Volk mit ihm die Hände faltet:
„Du machst zu Schanden nicht, die auf dich hoffen;
Du bist der Gott, der als Gerechter waltet.“"	l00130422	ANGER#FEAR#SADNESS
6979	Das letzte Lied Lindner, Anton l00170152	"Im bleichen Lichte krümmt sich die Chaussee
So müde zwischen weißen Meilensteinen,
In Pappelkronen flüstert Winterweh..
Und bei dem Teiche, wo die Weiden weinen,
Zittert ein Sensenlied, zittert und stirbt."	0.0	0.0	0.0	0.0	0.0	1.0	"Das letzte Lied
Lindner, Anton Die Sonne schläft, der Sommer geht zur Ruh,
Schon schwätzt der Kieselbach, die Räder rauschen;
Die Sehnsucht schließt die großen Augen zu,
Schläft lächelnd ein.. Dort, wo die Wälder lauschen,
Zittert ein Sensenlied, zittert und stirbt. Im bleichen Lichte krümmt sich die Chaussee
So müde zwischen weißen Meilensteinen,
In Pappelkronen flüstert Winterweh..
Und bei dem Teiche, wo die Weiden weinen,
Zittert ein Sensenlied, zittert und stirbt."	l00170152	SADNESS
