	DocName	Text	Agitation	Anger	Fear	Joy	Love	Sadness	Context	ID	label
2929	Weißt du noch? Prutz, Robert	"Weißt du noch wie deine Wange röther sich, o Liebste, malte,
Da zuerst ins fromme Auge Blitze dir das meine strahlte?
Wie du rasch dich seitwärts kehrtest, zürnend halb und halb erschrocken,
Da der Athem meines Mundes streifte deine süßen Locken?"	0.0	1.0	1.0	0.0	1.0	1.0	"Weißt du noch?
Prutz, Robert Weißt du noch wie deine Wange röther sich, o Liebste, malte,
Da zuerst ins fromme Auge Blitze dir das meine strahlte?
Wie du rasch dich seitwärts kehrtest, zürnend halb und halb erschrocken,
Da der Athem meines Mundes streifte deine süßen Locken?"	l0080399	ANGER#FEAR#LOVE#SADNESS
6876	„Täubchen, das...“ Lasker-Schüler, Else l0030250	"Mein Herz ist die tote Mutter,
Und meine Augen sind traurige Kinder,
Die über die Lande gehen."	0.0	0.0	0.0	0.0	0.0	1.0	"„Täubchen, das...“
Lasker-Schüler, Else „Täubchen, das in seinem eignen Blute schwimmt.“ Als ich also diese Worte an mich las,
Erinnerte ich mich
Tausend Jahre meiner. Eisige Zeiten verschollen — Leben vom Leben,
Wo liegt mein Leben —
Und träumt nach meinem Leben. Ich lag allen Tälern im Schoß,
Umklammerte alle Berge,
Aber nie meine Seele wärmte mich. Mein Herz ist die tote Mutter,
Und meine Augen sind traurige Kinder,
Die über die Lande gehen."	l0030250	SADNESS
3135	Am Sarge Pichler, Fritz [alt. Pichler, Friedrich]	"Hast du wol solche Leichen schon geschaut,
Die offnen Aug's ...? Du kehrst dich ab? Dir graut?
Du mußt nicht fürchten sie, mußt sie beweinen:
Sie liebten, lebend, ohne Glück; nun kann
Im Tode selbst nicht ruhn der arme Mann,
Sein Aug' ist offen, suchet nach der Einen."	0.0	0.0	1.0	1.0	1.0	1.0	"Am Sarge
Pichler, Fritz [alt. Pichler, Friedrich] Hast du wol solche Leichen schon geschaut,
Die offnen Aug's ...? Du kehrst dich ab? Dir graut?
Du mußt nicht fürchten sie, mußt sie beweinen:
Sie liebten, lebend, ohne Glück; nun kann
Im Tode selbst nicht ruhn der arme Mann,
Sein Aug' ist offen, suchet nach der Einen."	l0020124	FEAR#JOY#LOVE#SADNESS
6409	Osterkerzen Held, Franz	"— So brach ich Wilder aus dem Grund
Der Gier mit rauhem Verlangen —
Da sah ich deinen Leidensmund,
Des edlen Härmens Wangen —"	1.0	0.0	0.0	0.0	1.0	1.0	"Die Osterkerzen im Orgeldust
Erwachten mit Engelblicken,
Da hast du das Beste meiner Brust
Entzündet in Entzücken! Du selber wie eine Leuchte schlank,
Die Augen flammenleuchtend —
O wie ich in die Kniee sank,
Mit Thränen den Betstuhl feuchtend! So rannte der Heide Widukind
Einst in den Dom zu Aachen,
Wo bunte Scheiben, Gesänge lind,
In Sinn und Herz ihm brachen — „In meinem Urwald auf's Gradewohl
Stehn Bäume, rankendurchrungen —
Doch hat der Fürst der Franken, Karol,
Selbst Säulen zu Koppeln gezwungen.“ „Und wolltest dich wagen, mein rasend Schwert,
An ihn, an die Stärkste der Säulen!“
Vom Hauch der Symmetrie verklärt,
Zerschmolz der Mörder in Heulen. — — So brach ich Wilder aus dem Grund
Der Gier mit rauhem Verlangen —
Da sah ich deinen Leidensmund,
Des edlen Härmens Wangen —"	l0090039	AGITATION#LOVE#SADNESS
5402	Nixenkönigs Trost Oswalt, Kurt	"Nur Bolla blieb zurück am Strand,
Zum Trost für die verlassnen Kleinen;
Sie legte betend Hand in Hand,
Und mußte selbst herzinnig weinen."	0.0	0.0	1.0	1.0	0.0	1.0	"Sie tummeln froh auf grünem Plan,
Feldblumen winden sie zum Kranze,
Und lassen sich gar herzig an
Und reihen sich zum Ringeltanze. Da sieh — der Nixenkönig hold
Beginnet aus der Flut zu steigen,
Er rührt der Harfe Zaubergold
Frohlockend zu der Kinder Reigen. Keck trat der Knabe Nils herzu,
Und rief mit spöttischen Geberden:
„Geh', alter Nix! Was willst denn du?
Du kannst ja nimmer selig werden!“ Da füllt' ein Weheruf die Luft,
Die Saiten hört man springend gällen;
Wie eine Leiche in die Gruft,
So sank der Nix in dunkle Wellen. Die Nixenkinder hielten sich
In unbewußter Furcht umschlungen,
Und weinten laut und bitterlich;
Die andern sind voll Angst entsprungen. Nur Bolla blieb zurück am Strand,
Zum Trost für die verlassnen Kleinen;
Sie legte betend Hand in Hand,
Und mußte selbst herzinnig weinen."	l0020120	FEAR#JOY#SADNESS
549	Am Meer Lieber, Alfred von	"Am Meer
Lieber, Alfred von"	0.0	0.0	0.0	0.0	0.0	0.0	"Am Meer
Lieber, Alfred von"	l0060056	NONE
196	Das Auge der Geliebten Stöber, Adolf	"Warm und sternhell war die Frühlingsnacht,
Aus dem Fenster schauten wir die Pracht,
Lieber doch an ihren Augen sinnig
Hingen meine Blicke lang und innig."	0.0	0.0	0.0	0.0	1.0	0.0	"Das Auge der Geliebten
Stöber, Adolf Warm und sternhell war die Frühlingsnacht,
Aus dem Fenster schauten wir die Pracht,
Lieber doch an ihren Augen sinnig
Hingen meine Blicke lang und innig."	l0080531	LOVE
3461	Am Strande des Meeres Eckstein, Ernst	"Aber mild und lächelnd auf die Grüfte
Goß der Lenz die blütenreiche Pracht ...
Melodieen rauschten durch die Lüfte,
Glutgestirne flammten durch die Nacht.
Nun begann die Hoffnung ihren Reigen,
Neu das Leben seinen Lauf ...
Aus des Herbstes halbvergess'nen Leichen
Sproßten tausend Kelche auf!"	0.0	0.0	0.0	1.0	1.0	1.0	"Am Strande des Meeres
Eckstein, Ernst Die du fromm und liebend mich geleitet
Durch des Lebens rätselvolles Land,
Die ums Haupt den Fittich mir gebreitet,
Wenn ich bang am Scheidewege stand:
In des Himmels ungeheurer Leere
Herrlich, wie auf wonnereicher Flur:
Dich begrüß' ich gläubig auch im Meere,
Allgewalt'ge Göttin, o Natur! Wo der Brandung Lilienbrüste schwellen,
Bis die Flut den dunklen Sand betaut;
Wo ins Blau der schaumgekrönten Wellen
Nur die Möwe hoch herniederschaut:
Ach, da schwebt den lichtumwobnen Blicken
Weh und Wonne schattengleich vorbei:
Wo der Gottheit Schauer mich entzücken,
Fühl' ich wieder mich als frei! Manchen Pfad bin sehnend ich gegangen;
Treulich hoffend wand ich mich hinan,
In die sel'gen Thäler zu gelangen
Und das Unvergängliche zu fahn.
Doch umsonst verlangte ich nach Gnade,
Doch vergeblich suchte ich das Glück:
Alle meine wechselvollen Pfade
Führten zur Natur zurück. Dämmernd, wie die Schatten ihrer Wogen,
Lag das Weh auf meinem düstren Sinn:
Um den Himmel fühlt' ich mich betrogen,
Nur die Klage deuchte mir Gewinn;
Alles sah ich sinken und verderben,
Was die Gunst der frohen Stunde gab ...
Alles Leben lebte, um zu sterben,
Selbst die Liebe sank ins Grab. Aber mild und lächelnd auf die Grüfte
Goß der Lenz die blütenreiche Pracht ...
Melodieen rauschten durch die Lüfte,
Glutgestirne flammten durch die Nacht.
Nun begann die Hoffnung ihren Reigen,
Neu das Leben seinen Lauf ...
Aus des Herbstes halbvergess'nen Leichen
Sproßten tausend Kelche auf!"	l00130100	JOY#LOVE#SADNESS
3574	Alsen Willatzen, Peter Johann	"Hoch Deutschland, das ganze!
Euch aber im Glanze
Des Sieges zum Kranze
Den Lorber um's Haupt!
Mag's einst auch gelingen,
Den Feind zu bezwingen,
Der Elsaß, Lothringen
Uns schmachvoll geraubt!"	0.0	0.0	0.0	1.0	0.0	1.0	"Alsen
Willatzen, Peter Johann He, preußische Jungen,
So ist's euch gelungen:
Die Perl' ist errungen
Des baltischen Meers!
Zum Schutz nun dem Norden
Pflanzt auf an den Borden,
Die unser geworden,
Das Banner des Heers! He, Bomb' und Granaten!
Fahrt so ihr, Soldaten,
Mit Schwimmen und Waten
Selbst Meere hindurch!
Seid jubelnd gepriesen:
Der Welt ist's bewiesen
In Tagen gleich diesen,
Euch steht keine Burg! Ihr stürmet verwegen
Den Feinden entgegen
Trotz feurigem Regen
Trotz Wasser und Wall,
Trotz Hitze, trotz Kälte
Hin über die Belte,
Als ob's nur so gälte
Zu stürmen das All! Hoch Deutschland, das ganze!
Euch aber im Glanze
Des Sieges zum Kranze
Den Lorber um's Haupt!
Mag's einst auch gelingen,
Den Feind zu bezwingen,
Der Elsaß, Lothringen
Uns schmachvoll geraubt!"	l00200269	JOY#SADNESS
1246	Allein in hoher Wohnung... Dauthendey, Max [alt. Dauthendey, Maximilian; Dauthendey, Maxim]	"Allein in hoher Wohnung lebte ich mit meiner Laute,
Und wie die freien Töne trug ich frei mein Haupt."	0.0	0.0	0.0	0.0	0.0	0.0	"Allein in hoher Wohnung...
Dauthendey, Max [alt. Dauthendey, Maximilian; Dauthendey, Maxim] Allein in hoher Wohnung lebte ich mit meiner Laute,
Und wie die freien Töne trug ich frei mein Haupt."	l0030072	NONE
