	DocName	Text	Agitation	Anger	Fear	Joy	Love	Sadness	Context	ID	label
161	3. Meine Augen Zander, Antonie	"3. Meine Augen
Zander, Antonie"	0.0	0.0	0.0	0.0	0.0	0.0	"3. Meine Augen
Zander, Antonie"	l0020178	NONE
6979	Das letzte Lied Lindner, Anton l00170152	"Im bleichen Lichte krümmt sich die Chaussee
So müde zwischen weißen Meilensteinen,
In Pappelkronen flüstert Winterweh..
Und bei dem Teiche, wo die Weiden weinen,
Zittert ein Sensenlied, zittert und stirbt."	0.0	0.0	0.0	0.0	0.0	1.0	"Das letzte Lied
Lindner, Anton Die Sonne schläft, der Sommer geht zur Ruh,
Schon schwätzt der Kieselbach, die Räder rauschen;
Die Sehnsucht schließt die großen Augen zu,
Schläft lächelnd ein.. Dort, wo die Wälder lauschen,
Zittert ein Sensenlied, zittert und stirbt. Im bleichen Lichte krümmt sich die Chaussee
So müde zwischen weißen Meilensteinen,
In Pappelkronen flüstert Winterweh..
Und bei dem Teiche, wo die Weiden weinen,
Zittert ein Sensenlied, zittert und stirbt."	l00170152	SADNESS
7543	Liebe Miegel, Agnes l0030286	"Wieder werd' ich, in Reu und Leid,
Deinen geliebten Namen nennen,
Wieder, wie in verschollener Zeit,
Wird mein Mund nach dem deinen brennen,
Und, die Kerze in zitternder Hand,
Schreit' ich hinab die Treppenstufen —
Wie ein Brautkleid rauscht mein Gewand,
Und mir ist, ich hörte dich rufen..."	0.0	0.0	0.0	0.0	1.0	1.0	"Liebe
Miegel, Agnes Eh' du nicht stirbst in Elend und Not,
Eh' deine Stirn nicht mit Wahnsinn geschlagen —
Keine Rose und Nelke rot
Werde ich mehr im Tanze tragen.
Meine kleinen schneeweißen Schuh',
Die ich getragen bei Reigen und Geigen,
Sollen verstauben in ihrer Truh'
Unter welken Lavendelzweigen. Aber kommt dann endlich der Tag,
Wo sie mir sagen: „Er ist gestorben;
Fluch auf all seinen Wegen lag,
Unstet und flüchtig ist er verdorben“ —
Dann wird lachen mein blasser Mund,
Süß und hell wie in alten Tagen,
Seidene Kleider werd' ich zur Stund',
Ringe und Spangen und Ketten tragen;
Werde tanzen drei Nächte lang,
Rosen im Gürtel und Rosen im Haare —
Während dein Weib, verzweifelnd und bang,
Knieend betet an deiner Bahre. Aber kommt dann die vierte Nacht,
Ist die rote Sonne gegangen,
Dann ist mein Lachen ausgelacht,
Blaß wie der Tod sind dann meine Wangen,
Werde sagen: „Nun liegst du fern,
Tief in der gefrorenen Erde,
Gingest dahin — nicht wie ein Stern,
Loschest aus wie ein Fünkchen am Herde.“ Wieder werd' ich, in Reu und Leid,
Deinen geliebten Namen nennen,
Wieder, wie in verschollener Zeit,
Wird mein Mund nach dem deinen brennen,
Und, die Kerze in zitternder Hand,
Schreit' ich hinab die Treppenstufen —
Wie ein Brautkleid rauscht mein Gewand,
Und mir ist, ich hörte dich rufen..."	l0030286	LOVE#SADNESS
6054	DER BAUM THEODOR DÄUBLER l00300129	"Wie viele Rehe weinend schon gefallen sind!
Oh Sternenkind, bewahre ihre Seelenträne
Und mache uns im Wandel harmlos und gelind!"	1.0	0.0	0.0	0.0	0.0	1.0	"Es schlagen Wagnisschlangen auf zu Weltgeschicken!
Der Urwald leuchtet in das holde Weltenwohl:
Es glaubt der Baum! Und lauter Witterwipfel nicken! Der Baum umwurzelt seiner Ruhe Wesenspol.
Er schützt die Nester, schirmt das Schmerzens-Ich der Tiere,
Denn jedes Blatt ist großer Duldung Erdsymbol. So wirkt, daß nimmer sich ein Wirkungswink verliere!
Die Tiere aber sind schon mehr als Wimmerwind.
Sie irren sich ja nicht. Sie schwirren um das Ihre. Entwirrt euch schier! Das Winzigste ist weltgesinnt!
Und horcht in eurem Baum aufs Morgen freier Meere.
Du große Sonne, wie genau ein Tag verrinnt! Der Baum ist hoch. Er füllt schon seine Wesensehre.
Und über ihm begeistert sich ein Sternenkind
Und lauscht der Leidenschaft der Werdensschwere. Wie viele Rehe weinend schon gefallen sind!
Oh Sternenkind, bewahre ihre Seelenträne
Und mache uns im Wandel harmlos und gelind!"	l00300129	AGITATION#SADNESS
2018	Vergessen Tovote, Heinz	"Dein Lieben starb, der Welle gleich im Meer,
Im leichten Wind’ zerflatterte die flüchtige...
Ist deine Freundschaft stärker vor dem Wind?
Frag’ ich zu allen Stunden mich voll Leid’s. —
Und sieh: Das ist’s, was mich so traurig macht! —"	0.0	0.0	0.0	0.0	1.0	1.0	"Kein Leid auf Erden ist so riesengroß —
Es kommt die Zeit, den herben Schmerz zu lindern...
Kein Glück auf Erden ist so riesengroß —
Es kommt die Zeit, und macht das Glück zu nichte.
Sie ist gewaltig. — Hab’ ich es doch selbst
An mir erfahren mannigfalt. Es kommt die Zeit,
Und mit ihr das Vergessen. Wie in Nebel,
Der sich am Abend von den Wassern löst,
Hüllt sich Vergang’nes, daß die müden Augen
Nichts mehr erkennen. Gegenwärtiges
Drängt sich mit Allgewalt vor unsre Sinne,
Und farblos, matt und nichtig wird Entschwund’nes.
Die Woge war — die Woge ist nicht mehr,
Versunken in das Grab: Vergessenheit. — Einst schien mir jegliches Gefühl gestorben,
Da nahtest du dich mir in Lieb und Güte,
Und lehrtest mich, daß ich dich lieben mußte,
Daß ich mit jeder Faser meines Leibes
Mich an dich klammerte, um dich zu halten. —
Dann kam der Sturm; verweht ward alles wieder,
Dein Lieben starb. — Und wie ein welkes Blatt,
Das herbstlich von dem dürren Zweige bricht
Und niederflattert zu der nassen Erde,
Irrt unsre Freundschaft haltlos in dem Winde. —
Nur eine Welle war’s im Lebensmeer,
Die schäumend sich am Fels des Todes bricht,
Und dann in Nichts zerschellt... Denn tausend Wellen
Vernichtend drängen ringsum auf sie ein,
Und tilgen ihre Spur für ewig aus. Dein Lieben starb, der Welle gleich im Meer,
Im leichten Wind’ zerflatterte die flüchtige...
Ist deine Freundschaft stärker vor dem Wind?
Frag’ ich zu allen Stunden mich voll Leid’s. —
Und sieh: Das ist’s, was mich so traurig macht! —"	l00100096	LOVE#SADNESS
898	MÄRZABEND ERNST BLASS l0029005	MÄRZABEND	0.0	0.0	0.0	0.0	0.0	0.0	MÄRZABEND	l0029005	NONE
2246	Liebesnacht Greif, Martin	"„O weile, süsser Geliebter!
Es trügt dich nur,
Noch hellt, nur wolkengetrübter,
Der Mond die Flur.“"	0.0	0.0	0.0	0.0	0.0	0.0	"Liebesnacht
Greif, Martin „O weile, süsser Geliebter!
Es trügt dich nur,
Noch hellt, nur wolkengetrübter,
Der Mond die Flur.“"	l00160084	NONE
5048	Schwester, komm mit! Beutler, Margarete	"Schwester, komm mit!
Deine Hände sind zart und schlank —
Mir ist um dich so bang — —
Schwester, komm mit!
Ob dich der Schlamm geboren,
Ob dich das Laster fand
Noch an der Kindheit Rand —
Ob dich die Not erkoren — —
Ich will nicht fragen.
Mein Stübchen ist friedvoll rein,
Da sind wir beide allein,
Und ich will dir Liebes sagen.
Ich will dich Schwester nennen
Um der Sehnsucht willen,
Die wir alle kennen.
Ich bette dein Haupt in meinen Schoß
Und spreche dich aller Sünde los:
Du sollst rein
Diesen kurzen Abend sein
Um meiner Sehnsucht willen.
— — Schwester, komm mit!"	0.0	0.0	1.0	0.0	1.0	0.0	"Schwester, komm mit!
Beutler, Margarete Schwester, komm mit!
Deine Hände sind zart und schlank —
Mir ist um dich so bang — —
Schwester, komm mit!
Ob dich der Schlamm geboren,
Ob dich das Laster fand
Noch an der Kindheit Rand —
Ob dich die Not erkoren — —
Ich will nicht fragen.
Mein Stübchen ist friedvoll rein,
Da sind wir beide allein,
Und ich will dir Liebes sagen.
Ich will dich Schwester nennen
Um der Sehnsucht willen,
Die wir alle kennen.
Ich bette dein Haupt in meinen Schoß
Und spreche dich aller Sünde los:
Du sollst rein
Diesen kurzen Abend sein
Um meiner Sehnsucht willen.
— — Schwester, komm mit!"	l0030016	FEAR#LOVE
6903	Zwei Blumen Gottschall, Rudolf	"Du Kelch der Freuden, wo durch der Liebe Macht
Zu geist'ger Regung schlummerndes Sein erwacht,
Wo Blütenfäden Wonne trinken,
Durstig sich neigen und süß versinken!"	0.0	0.0	0.0	1.0	1.0	0.0	"Und selbst Natur, die wilde Zerstörerin,
Sie schüttet Flammen über ein Eden hin,
Zerreißt die Erde, jagt die Meere
Über des Landes zersprengte Wehre. Qual und Vernichtung schauern auf jeder Bahn,
Wo Menschen ringend höherem Ziel sich nahn.
Im Opferdienst, in jeder Frohne
Schau' ich die Stacheln der Dornenkrone. Du aber winkst mir dort an des Baches Rand,
Parnassia, im schimmernden Festgewand,
Ein heller Stern auf samtnen Matten,
Tief in der silbernen Birke Schatten. Rings stehn die Wälder stumm, und kein Hauch bewegt
Der Ähren Gold, das sich um die Hügel legt!
Wenn atemlos die Fluren schweigen,
Muß sich die Liebe zur Liebe neigen. In deinem Kelche regt es sich zauberhaft,
Es schwankt, es neigt sich, wie mit beseelter Kraft.
Die Kronenträger sind, die stolzen,
Plötzlich zu seligem Kuß verschmolzen. Du Kelch der Freuden, wo durch der Liebe Macht
Zu geist'ger Regung schlummerndes Sein erwacht,
Wo Blütenfäden Wonne trinken,
Durstig sich neigen und süß versinken!"	l00130401	JOY#LOVE
1800	Der Weggenossin Evers, Franz	"Der Weggenossin
Evers, Franz"	0.0	0.0	0.0	0.0	0.0	0.0	"Der Weggenossin
Evers, Franz"	l00170074	NONE
